                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1169,                 22.861,                   3.95,                  7e-05,                0.00179,                  4e-05,                  1e-05,                 4.5485,                  53.89,                 3.3278,             0.00045009,             0.00045009,             0.00045009
                      2,                  4.343,                 6.5036,                 3.6059,                  5e-05,                0.00049,                  3e-05,                  1e-05,                 4.5394,                 41.006,                 3.3251,              0.0008987,              0.0008987,              0.0008987
                      3,                 3.3777,                 2.7126,                  2.152,                  4e-05,                0.00039,                  2e-05,                  1e-05,                 4.4547,                 30.893,                 3.1097,              0.0013288,              0.0013288,              0.0013288
                      4,                 2.8688,                 1.9737,                 1.5686,                0.63223,                0.22765,                0.10084,                0.02974,                 2.7873,                 2.4841,                  1.592,               0.001568,               0.001568,               0.001568
                      5,                 2.6086,                 1.7025,                 1.4751,                0.27149,                0.48591,                0.37183,                0.12798,                 2.3459,                 1.8954,                  1.366,               0.001535,               0.001535,               0.001535
                      6,                  2.318,                 1.5217,                 1.3665,                0.66807,                 0.3667,                0.46809,                0.17564,                  2.186,                 1.5398,                   1.26,               0.001502,               0.001502,               0.001502
                      7,                 2.3244,                 1.4437,                 1.3002,                0.48428,                0.61639,                0.56205,                0.22695,                 2.0789,                 1.3715,                 1.1929,               0.001469,               0.001469,               0.001469
                      8,                 2.1724,                 1.3377,                  1.259,                0.74193,                0.67108,                0.74977,                0.32228,                 1.9953,                 1.2426,                 1.1649,               0.001436,               0.001436,               0.001436
                      9,                 2.1483,                 1.2831,                 1.1956,                0.64356,                0.70282,                0.63326,                0.28594,                  1.928,                 1.3106,                 1.1306,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.0913,                 1.2761,                 1.1938,                0.85745,                0.75885,                0.83828,                0.37469,                 1.9244,                   1.13,                 1.1294,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.0496,                  1.179,                 1.1382,                0.76319,                0.79663,                0.84466,                0.37844,                 1.8797,                 1.0958,                 1.1183,              0.0013369,              0.0013369,              0.0013369
                     12,                  2.023,                  1.156,                 1.1472,                0.82927,                 0.8121,                0.84476,                0.37597,                  1.884,                  1.105,                 1.1151,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.0155,                 1.1637,                 1.1462,                0.81341,                0.80941,                0.84005,                0.39658,                 1.8245,                 1.0549,                    1.1,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.9876,                 1.1438,                 1.1299,                0.87752,                0.84586,                0.88383,                0.42457,                 1.8071,                 1.0476,                 1.0928,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.0163,                 1.1258,                 1.1355,                0.83554,                0.84531,                 0.8705,                0.41662,                 1.8667,                 1.1279,                 1.0965,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.9577,                 1.0896,                 1.1053,                0.91256,                0.83114,                0.89924,                0.42342,                 1.7701,                 0.9897,                 1.0803,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.9068,                 1.0491,                 1.1057,                0.90949,                0.85618,                0.90347,                0.43453,                 1.7745,                0.98784,                 1.0857,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.8619,                 1.0322,                 1.1126,                0.89162,                0.85221,                0.89804,                0.43682,                 1.7825,                 1.0118,                 1.0839,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.9263,                 1.0271,                 1.0908,                0.83202,                0.87222,                0.87844,                0.43903,                   1.72,                0.99215,                 1.0697,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.8606,                 1.0117,                 1.0841,                0.90934,                0.84287,                0.91111,                0.43177,                 1.8006,                0.94978,                 1.0712,              0.0010399,              0.0010399,              0.0010399
                     21,                  1.881,                0.98244,                 1.0757,                0.90514,                0.87861,                0.90918,                0.45737,                  1.701,                0.92491,                 1.0595,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.8343,                0.97159,                 1.1014,                0.90461,                 0.8848,                0.91358,                0.42042,                 1.8357,                0.95943,                 1.0794,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.8641,                0.98658,                 1.0925,                0.86962,                0.86346,                0.89514,                0.45079,                 1.7488,                0.90324,                 1.0528,             0.00094085,             0.00094085,             0.00094085
                     24,                  1.872,                0.95955,                 1.0665,                0.90741,                0.88568,                0.91732,                0.46593,                 1.7144,                0.94528,                 1.0531,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.8238,                0.97896,                 1.0852,                0.86665,                0.88068,                  0.907,                0.44298,                 1.7056,                0.91538,                 1.0465,             0.00087484,             0.00087484,             0.00087484
                     26,                  1.836,                0.95039,                  1.066,                0.89099,                0.89909,                0.92642,                0.47895,                  1.679,                0.87928,                 1.0415,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.7798,                0.91481,                 1.0561,                0.88986,                0.88241,                0.90342,                0.43878,                 1.7649,                 0.9218,                 1.0581,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.7912,                0.91075,                 1.0439,                0.92065,                0.89331,                0.92362,                0.45868,                 1.7457,                0.87065,                   1.05,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.7887,                0.91854,                 1.0735,                0.77303,                0.82907,                0.88163,                0.44805,                 1.7063,                 1.0426,                 1.0418,             0.00074282,             0.00074282,             0.00074282
                     30,                  1.778,                0.90628,                 1.0681,                0.92661,                0.90295,                0.92408,                0.46643,                 1.7081,                0.85017,                 1.0424,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.8025,                0.92981,                  1.045,                0.92392,                0.90382,                0.93401,                0.48955,                  1.645,                0.84182,                  1.034,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.7344,                0.89282,                 1.0544,                0.93311,                0.89733,                0.92899,                0.49043,                 1.6188,                0.84054,                 1.0338,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.7457,                0.90658,                 1.0518,                 0.9164,                0.91181,                0.93274,                0.49545,                  1.636,                0.83025,                 1.0314,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.7404,                0.89162,                 1.0554,                0.91686,                0.91049,                0.93165,                0.49259,                 1.6263,                0.82432,                 1.0304,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.7547,                 0.8868,                 1.0396,                0.92792,                0.91591,                0.93807,                0.49424,                 1.6294,                0.84764,                 1.0255,             0.00054478,             0.00054478,             0.00054478
                     36,                  1.769,                 0.8979,                 1.0643,                0.90854,                0.91401,                0.93599,                0.48621,                 1.6404,                0.84659,                 1.0271,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.7391,                0.87816,                 1.0776,                0.92325,                0.91127,                0.93451,                0.49274,                 1.6043,                0.82161,                 1.0227,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.7224,                0.85972,                 1.0574,                0.92922,                0.91124,                0.93837,                 0.5003,                 1.6222,                0.80344,                 1.0229,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.7415,                0.86239,                 1.0511,                0.91657,                0.90615,                0.93957,                0.50502,                 1.6355,                0.79771,                 1.0233,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.7156,                0.85951,                 1.0635,                  0.935,                0.91941,                0.93647,                 0.5085,                  1.605,                0.78596,                 1.0168,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.6424,                0.84325,                 1.0556,                0.92583,                0.92056,                0.93758,                 0.5092,                 1.5956,                0.79089,                 1.0185,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.6236,                0.82079,                 1.0525,                0.91811,                0.91444,                 0.9363,                0.50525,                 1.6211,                0.80413,                  1.021,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.6273,                0.82681,                 1.0481,                0.92913,                 0.9275,                0.93629,                 0.5133,                 1.5716,                0.78253,                 1.0108,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.5965,                 0.8008,                 1.0484,                0.93502,                0.92332,                0.94246,                0.52407,                  1.572,                0.77159,                 1.0113,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.6379,                0.83067,                 1.0466,                0.93926,                0.91196,                0.93828,                0.50506,                 1.5828,                0.78788,                 1.0135,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.6274,                0.81749,                 1.0412,                0.92735,                 0.9192,                0.93871,                 0.5091,                 1.5815,                0.77629,                 1.0149,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.6382,                0.81192,                 1.0384,                0.93266,                0.93019,                0.94238,                0.50793,                  1.615,                0.78015,                 1.0163,              0.0001487,              0.0001487,              0.0001487
                     48,                  1.589,                0.79903,                 1.0379,                0.94052,                0.92074,                0.94063,                0.51986,                 1.5525,                0.76684,                 1.0062,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.6023,                0.78367,                 1.0444,                0.93805,                0.92676,                0.94222,                0.51666,                 1.5841,                0.76323,                 1.0079,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.5799,                0.78349,                 1.0344,                0.93316,                0.92979,                0.94041,                0.52196,                 1.5521,                0.75989,                 1.0051,             4.9677e-05,             4.9677e-05,             4.9677e-05
